City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
176,Sainte-Suzanne,-20.9061,55.6089,72.46,79,75,18.41,RE,broken clouds,2022-06-13 16:33:47
177,Banjar,-8.19,114.9675,77.43,90,98,3.44,ID,overcast clouds,2022-06-13 16:33:47
178,Dolores,-36.3132,-57.6792,63.52,39,49,11.01,AR,scattered clouds,2022-06-13 16:33:48
179,Rio Brilhante,-21.8019,-54.5464,68.67,29,0,4.05,BR,clear sky,2022-06-13 16:33:48
180,Namuac,18.6109,121.1657,80.19,85,100,4.43,PH,overcast clouds,2022-06-13 16:34:48
181,Georgiyevka,43.0369,74.7114,68.04,64,40,13.42,KZ,scattered clouds,2022-06-13 16:34:49
182,Pouembout,-21.1333,164.9,70.88,93,100,5.68,NC,overcast clouds,2022-06-13 16:34:49
183,Georgetown,5.4112,100.3354,82.35,88,20,3.44,MY,few clouds,2022-06-13 16:34:26
184,Innisfail,-17.5333,146.0333,60.21,79,15,4.38,AU,few clouds,2022-06-13 16:34:49
185,Kayes,14.0,-11.0,98.64,29,100,6.82,ML,overcast clouds,2022-06-13 16:34:50
186,Illapel,-31.6308,-71.1653,68.49,35,98,5.39,CL,overcast clouds,2022-06-13 16:34:50
187,Pahrump,36.2083,-115.9839,84.25,33,0,11.01,US,clear sky,2022-06-13 16:34:50
188,Port Said,31.2565,32.2841,78.78,73,0,11.5,EG,clear sky,2022-06-13 16:34:50
189,Itaituba,-4.2761,-55.9836,87.96,66,75,5.75,BR,broken clouds,2022-06-13 16:34:51
190,Newcastleton,55.1796,-2.8127,57.04,87,100,12.37,GB,overcast clouds,2022-06-13 16:34:51
191,Gambo,4.6482,22.2633,71.38,97,54,2.13,CF,light rain,2022-06-13 16:34:51
192,Zabol,32.25,67.25,75.31,10,0,11.95,AF,clear sky,2022-06-13 16:34:52
193,Salalah,17.0151,54.0924,86.09,84,75,10.36,OM,broken clouds,2022-06-13 16:34:15
194,Alice Springs,-23.7,133.8833,40.55,75,6,0.0,AU,clear sky,2022-06-13 16:34:52
195,Zhicheng,30.2956,111.5047,71.64,82,62,2.01,CN,broken clouds,2022-06-13 16:34:52
196,Udachnyy,66.4167,112.4,57.45,54,14,5.57,RU,few clouds,2022-06-13 16:34:53
197,Bemidji,47.4736,-94.8803,73.89,88,40,6.91,US,scattered clouds,2022-06-13 16:33:24
198,Matiari,25.5961,68.4467,90.14,54,0,18.68,PK,clear sky,2022-06-13 16:34:53
199,San Patricio,28.017,-97.5169,92.12,37,77,19.71,US,broken clouds,2022-06-13 16:34:53
200,Beira,-19.8436,34.8389,69.13,85,6,6.96,MZ,clear sky,2022-06-13 16:34:53
201,Mar Del Plata,-38.0023,-57.5575,62.94,54,0,9.22,AR,clear sky,2022-06-13 16:34:54
202,Ancud,-41.8697,-73.8203,52.23,92,100,10.74,CL,light rain,2022-06-13 16:34:54
203,Solntsevo,51.4185,36.7499,74.23,79,9,3.06,RU,clear sky,2022-06-13 16:34:54
204,Ketchikan,55.3422,-131.6461,52.27,82,100,4.61,US,overcast clouds,2022-06-13 16:34:55
205,Mahebourg,-20.4081,57.7,74.25,68,40,12.66,MU,scattered clouds,2022-06-13 16:34:55
206,Dikson,73.5069,80.5464,30.09,86,100,13.24,RU,overcast clouds,2022-06-13 16:34:55
207,Tasiilaq,65.6145,-37.6368,39.36,96,100,10.78,GL,moderate rain,2022-06-13 16:34:56
208,Port Blair,11.6667,92.75,82.44,83,40,2.3,IN,mist,2022-06-13 16:34:56
209,Henties Bay,-22.116,14.2845,61.05,82,0,3.27,NA,clear sky,2022-06-13 16:34:56
210,Pamplona,42.8169,-1.6432,87.98,45,0,10.36,ES,clear sky,2022-06-13 16:34:56
211,Norman Wells,65.282,-126.8329,44.64,87,100,13.8,CA,overcast clouds,2022-06-13 16:34:57
212,Sola,-13.8833,167.55,80.44,79,100,12.44,VU,overcast clouds,2022-06-13 16:34:57
213,Westport,41.1415,-73.3579,85.28,77,59,1.99,US,broken clouds,2022-06-13 16:33:11
214,Nakhon Si Thammarat,8.25,100.0,78.15,89,71,2.33,TH,light rain,2022-06-13 16:34:57
215,Shieli,44.1667,66.75,82.47,19,80,8.59,KZ,broken clouds,2022-06-13 16:34:58
216,Hithadhoo,-0.6,73.0833,83.7,72,62,5.79,MV,broken clouds,2022-06-13 16:34:58
217,Leticia,-4.2153,-69.9406,77.05,69,75,8.05,CO,broken clouds,2022-06-13 16:34:58
218,Lorengau,-2.0226,147.2712,82.81,73,79,11.43,PG,broken clouds,2022-06-13 16:34:59
219,Tuatapere,-46.1333,167.6833,43.86,84,98,21.16,NZ,light rain,2022-06-13 16:34:59
220,Lagoa,39.05,-27.9833,63.07,77,8,12.01,PT,clear sky,2022-06-13 16:34:59
221,Ballitoville,-29.539,31.2144,69.24,82,0,3.44,ZA,clear sky,2022-06-13 16:34:59
222,Waipawa,-41.4122,175.5153,42.4,84,38,6.69,NZ,scattered clouds,2022-06-13 16:35:00
223,Zaraza,9.3503,-65.3245,73.06,96,96,5.1,VE,overcast clouds,2022-06-13 16:35:00
224,Kingsland,30.8,-81.6898,89.91,75,45,4.29,US,scattered clouds,2022-06-13 16:35:00
225,Pangnirtung,66.1451,-65.7125,35.6,93,40,4.61,CA,scattered clouds,2022-06-13 16:35:01
226,Aksarka,66.5606,67.7975,42.71,77,100,19.69,RU,overcast clouds,2022-06-13 16:35:01
227,Berdigestyakh,62.0989,126.6992,46.4,88,64,5.35,RU,broken clouds,2022-06-13 16:33:08
228,Geraldton,-28.7667,114.6,59.41,82,100,5.75,AU,overcast clouds,2022-06-13 16:31:08
229,Cayenne,4.9333,-52.3333,87.84,22,40,8.05,GF,scattered clouds,2022-06-13 16:36:01
230,Bombay,19.0144,72.8479,84.18,84,40,6.91,IN,haze,2022-06-13 16:34:00
231,Awbari,26.5921,12.7805,93.99,15,26,12.55,LY,scattered clouds,2022-06-13 16:36:02
232,New Norfolk,-42.7826,147.0587,39.7,86,76,3.18,AU,broken clouds,2022-06-13 16:36:02
233,Boende,-0.2167,20.8667,73.08,90,100,3.76,CD,moderate rain,2022-06-13 16:36:02
234,Stornoway,58.2093,-6.3865,55.36,78,75,14.97,GB,broken clouds,2022-06-13 16:36:03
235,Anadyr,64.75,177.4833,43.3,56,0,15.66,RU,clear sky,2022-06-13 16:36:03
236,Vila Velha,-20.3297,-40.2925,75.15,76,40,17.27,BR,scattered clouds,2022-06-13 16:34:10
237,Qaqortoq,60.7167,-46.0333,45.28,50,2,9.8,GL,clear sky,2022-06-13 16:36:03
238,Calama,-22.4667,-68.9333,68.49,3,0,13.8,CL,clear sky,2022-06-13 16:36:04
239,Concepcion Del Oro,24.6333,-101.4167,71.89,30,1,8.59,MX,clear sky,2022-06-13 16:36:04
240,La Libertad,-2.2333,-80.9,73.06,83,100,9.22,EC,overcast clouds,2022-06-13 16:36:04
241,Martapura,-3.4167,114.85,75.29,100,100,4.61,ID,overcast clouds,2022-06-13 16:36:04
242,Russell,32.3502,-85.1999,94.37,62,20,0.0,US,few clouds,2022-06-13 16:36:05
243,Biryusinsk,55.9634,97.8235,57.99,94,24,5.26,RU,few clouds,2022-06-13 16:36:05
