City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Sistranda,NO,2022-06-08 20:27:05,63.7256,8.834,48.16,73,100,23.89
226,Umm Kaddadah,SD,2022-06-08 20:27:06,13.6017,26.6876,82.0,51,100,16.55
227,Tura,IN,2022-06-08 20:27:06,25.5198,90.2201,74.16,97,100,5.44
228,Vicente Guerrero,MX,2022-06-08 20:24:40,19.1194,-98.1708,76.39,32,97,7.67
229,Karaton,ID,2022-06-08 20:27:06,-6.3424,106.1045,74.23,91,100,1.03
230,Emet,TR,2022-06-08 20:27:07,39.343,29.2585,57.87,76,0,2.48
231,Tarbagatay,RU,2022-06-08 20:27:07,51.4803,107.3602,42.33,89,100,2.51
232,Port Moresby,PG,2022-06-08 20:27:10,-9.4431,147.1797,72.82,100,40,3.44
233,Changying,CN,2022-06-08 20:28:07,52.8733,123.3213,54.63,79,35,1.54
234,Atar,MR,2022-06-08 20:28:08,20.5169,-13.0499,100.4,15,99,7.43
235,Pedernales,DO,2022-06-08 20:28:08,18.0384,-71.744,86.18,58,19,5.03
236,San Patricio,US,2022-06-08 20:28:08,28.017,-97.5169,95.09,38,6,18.41
237,Henties Bay,NA,2022-06-08 20:28:09,-22.116,14.2845,65.93,53,0,10.33
238,Eyl,SO,2022-06-08 20:28:09,7.9803,49.8164,85.21,56,51,21.43
239,Cayenne,GF,2022-06-08 20:28:09,4.9333,-52.3333,83.08,17,40,11.5
240,Athabasca,CA,2022-06-08 20:28:01,54.7169,-113.2854,70.21,50,100,11.95
241,Mizdah,LY,2022-06-08 20:28:10,31.4451,12.9801,83.34,26,14,10.54
242,Kaura Namoda,NG,2022-06-08 20:28:10,12.5898,6.5779,93.24,21,10,4.29
243,Salaga,GH,2022-06-08 20:28:10,8.5508,-0.5188,80.82,64,16,7.16
244,Pafos,CY,2022-06-08 20:28:11,34.7667,32.4167,74.98,73,20,3.44
245,Lebowakgomo,ZA,2022-06-08 20:28:11,-24.2,29.5,49.1,58,0,5.1
246,Cap Malheureux,MU,2022-06-08 20:28:11,-19.9842,57.6142,70.47,76,0,4.0
247,Esperance,AU,2022-06-08 20:28:11,-33.8667,121.9,51.01,82,12,12.97
248,Vila Do Maio,CV,2022-06-08 20:28:12,15.1333,-23.2167,75.99,87,8,4.52
249,Nuuk,GL,2022-06-08 20:28:12,64.1835,-51.7216,52.41,40,0,6.91
250,Esna,EG,2022-06-08 20:28:12,25.2934,32.554,93.22,13,0,11.18
251,Santa Maria,BR,2022-06-08 20:24:16,-29.6842,-53.8069,60.1,94,100,2.3
252,Darhan,MN,2022-06-08 20:28:13,49.4867,105.9228,49.6,64,100,3.58
253,Sao Filipe,CV,2022-06-08 20:28:13,14.8961,-24.4956,74.03,83,1,9.66
254,Port Elizabeth,ZA,2022-06-08 20:28:13,-33.918,25.5701,66.31,45,0,6.91
255,Castro,BR,2022-06-08 20:28:14,-24.7911,-50.0119,60.67,82,52,3.33
256,Concordia,AR,2022-06-08 20:28:14,-31.393,-58.0209,62.78,72,75,0.0
257,Non Sang,TH,2022-06-08 20:28:14,16.8687,102.5664,77.47,83,94,2.28
258,Margate,GB,2022-06-08 20:23:39,51.3813,1.3862,60.87,77,3,3.0
259,Boditi,ET,2022-06-08 20:28:15,6.9667,37.8667,56.01,89,35,2.8
260,Beidao,CN,2022-06-08 20:28:15,34.5686,105.8933,66.22,72,100,0.74
261,Shimoda,JP,2022-06-08 20:28:15,34.6667,138.95,61.11,89,82,9.22
262,Lorengau,PG,2022-06-08 20:28:16,-2.0226,147.2712,81.46,75,100,8.01
263,Olinda,BR,2022-06-08 20:25:48,-8.0089,-34.8553,80.33,83,40,8.05
264,Port-Cartier,CA,2022-06-08 20:28:16,50.0334,-66.8654,50.22,97,100,9.37
265,Mango,US,2022-06-08 20:28:16,27.9797,-82.3065,91.31,73,75,6.91
266,Seymchan,RU,2022-06-08 20:28:17,62.8833,152.4333,43.52,88,100,2.24
267,Yulara,AU,2022-06-08 20:28:17,-25.2406,130.9889,45.19,72,8,8.95
268,Vila Velha,BR,2022-06-08 20:24:00,-20.3297,-40.2925,76.95,79,0,5.75
269,Thomasville,US,2022-06-08 20:28:17,35.8826,-80.082,87.42,49,40,6.13
